                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.66617,                0.60726,                0.78251,                0.22601,                  0.677,                0.22555,                0.17725,                0.56094,                 3.8252,                0.76967,               0.006007,               0.006007,               0.006007
                    124,                0.66475,                0.61198,                0.78181,                0.22506,                0.67719,                0.22569,                0.17677,                 0.5604,                 3.8223,                0.76965,               0.005974,               0.005974,               0.005974
                    125,                0.66325,                0.60051,                0.78232,                0.22426,                0.67689,                0.22398,                0.17646,                0.55986,                 3.8206,                0.76963,               0.005941,               0.005941,               0.005941
                    126,                0.66616,                0.60765,                0.78066,                0.22434,                0.67829,                0.22377,                0.17708,                0.55936,                 3.8256,                0.76963,               0.005908,               0.005908,               0.005908
                    127,                0.66201,                0.60076,                0.78049,                0.22548,                0.67866,                0.22446,                0.17738,                0.55907,                 3.8186,                0.76956,               0.005875,               0.005875,               0.005875
                    128,                0.65645,                0.59542,                0.78106,                0.22575,                0.67528,                0.22554,                0.17751,                0.55775,                  3.821,                0.76956,               0.005842,               0.005842,               0.005842
                    129,                0.66033,                0.60306,                0.78075,                0.22642,                0.67401,                0.22672,                0.17906,                0.55565,                  3.815,                0.76951,               0.005809,               0.005809,               0.005809
                    130,                0.65846,                0.60493,                0.78011,                0.22704,                0.67376,                 0.2252,                0.17748,                0.55562,                 3.8133,                0.76946,               0.005776,               0.005776,               0.005776
                    131,                0.65593,                0.60705,                0.77999,                0.22637,                0.67502,                0.22523,                 0.1777,                0.55398,                  3.809,                0.76943,               0.005743,               0.005743,               0.005743
                    132,                0.65302,                0.59678,                0.77947,                0.22664,                0.67545,                0.22579,                0.17821,                0.55283,                  3.812,                0.76938,                0.00571,                0.00571,                0.00571
                    133,                0.65479,                0.60713,                0.78047,                0.22651,                0.67458,                0.22482,                0.17803,                 0.5514,                 3.8083,                0.76931,               0.005677,               0.005677,               0.005677
                    134,                0.65521,                0.60177,                0.78038,                  0.226,                0.67491,                 0.2261,                0.17711,                0.55063,                 3.8145,                0.76929,               0.005644,               0.005644,               0.005644
                    135,                0.65823,                0.60795,                0.78002,                0.22585,                0.67482,                0.22428,                0.17667,                0.55008,                 3.8123,                0.76929,               0.005611,               0.005611,               0.005611
                    136,                0.65404,                0.59237,                0.77993,                0.22565,                0.67471,                0.22494,                0.17737,                0.54913,                 3.8198,                0.76921,               0.005578,               0.005578,               0.005578
                    137,                0.65413,                 0.5986,                0.77994,                 0.2255,                  0.678,                0.22626,                0.17932,                 0.5502,                 3.8215,                0.76917,               0.005545,               0.005545,               0.005545
                    138,                0.65112,                0.60145,                0.78052,                0.22398,                0.67925,                0.22661,                0.17888,                0.54954,                 3.8173,                0.76906,               0.005512,               0.005512,               0.005512
                    139,                0.65066,                0.59255,                0.77976,                0.22422,                0.67934,                0.22532,                0.17759,                0.54879,                 3.8209,                0.76915,               0.005479,               0.005479,               0.005479
                    140,                 0.6488,                0.59872,                0.78017,                0.22084,                0.68503,                0.22651,                0.17892,                0.54852,                 3.8175,                0.76912,               0.005446,               0.005446,               0.005446
                    141,                0.65169,                0.60865,                0.77847,                0.22006,                0.68638,                0.22633,                0.17907,                0.54836,                 3.8161,                0.76906,               0.005413,               0.005413,               0.005413
                    142,                0.64541,                0.59291,                0.77999,                0.21954,                0.68665,                0.22713,                0.17899,                0.54772,                 3.8194,                0.76908,                0.00538,                0.00538,                0.00538
                    143,                 0.6496,                0.59458,                0.78017,                0.22064,                0.68678,                0.22734,                 0.1779,                0.54798,                 3.8206,                0.76902,               0.005347,               0.005347,               0.005347
                    144,                0.65013,                0.59607,                 0.7796,                0.22016,                0.68656,                 0.2268,                0.17885,                 0.5473,                 3.8243,                0.76899,               0.005314,               0.005314,               0.005314
                    145,                0.64456,                 0.5978,                0.77953,                0.21397,                0.69608,                0.22722,                0.17897,                0.54568,                 3.8227,                 0.7689,               0.005281,               0.005281,               0.005281
                    146,                0.64316,                0.59112,                0.77979,                0.20205,                0.77371,                 0.2259,                0.17975,                0.54551,                 3.8222,                 0.7689,               0.005248,               0.005248,               0.005248
                    147,                0.64561,                0.59621,                0.78016,                0.20346,                0.78215,                0.22666,                0.17823,                0.54497,                 3.8218,                0.76876,               0.005215,               0.005215,               0.005215
                    148,                0.64461,                0.59323,                0.77892,                  0.203,                0.78154,                0.22814,                0.18032,                 0.5439,                 3.8256,                0.76873,               0.005182,               0.005182,               0.005182
                    149,                0.64127,                0.58529,                0.77896,                0.20659,                0.76017,                0.22905,                0.18004,                 0.5436,                  3.827,                0.76872,               0.005149,               0.005149,               0.005149
                    150,                0.63988,                0.58571,                0.77997,                0.20675,                0.75997,                0.22739,                0.17807,                0.54268,                 3.8293,                0.76862,               0.005116,               0.005116,               0.005116
                    151,                0.64238,                0.59113,                0.78012,                0.20839,                0.76246,                0.22713,                0.17879,                0.54281,                 3.8289,                0.76859,               0.005083,               0.005083,               0.005083
                    152,                0.64354,                0.58975,                0.77876,                0.20808,                0.76232,                0.22361,                0.17495,                0.54121,                 3.8302,                0.76859,                0.00505,                0.00505,                0.00505
                    153,                0.64119,                0.58371,                0.77798,                 0.2087,                0.77095,                0.22358,                0.17542,                0.54058,                 3.8339,                0.76851,               0.005017,               0.005017,               0.005017
                    154,                 0.6407,                0.59131,                0.77925,                0.20834,                0.77124,                0.22668,                0.17871,                0.53919,                 3.8323,                0.76843,               0.004984,               0.004984,               0.004984
                    155,                0.63722,                0.58959,                0.77918,                0.20814,                0.77123,                0.22519,                0.17801,                0.53954,                 3.8296,                0.76844,               0.004951,               0.004951,               0.004951
                    156,                0.63607,                0.58574,                0.77879,                 0.2088,                0.77099,                0.22575,                0.17823,                0.53875,                   3.83,                0.76854,               0.004918,               0.004918,               0.004918
                    157,                 0.6372,                 0.5818,                0.77904,                0.20831,                0.77221,                0.22564,                0.17745,                0.53816,                 3.8253,                0.76843,               0.004885,               0.004885,               0.004885
                    158,                0.63633,                  0.589,                0.77821,                0.20815,                0.77296,                0.22653,                0.17792,                0.53732,                  3.823,                0.76846,               0.004852,               0.004852,               0.004852
                    159,                0.63529,                0.58928,                 0.7789,                0.21003,                0.76758,                0.22729,                0.17801,                0.53794,                  3.827,                0.76829,               0.004819,               0.004819,               0.004819
                    160,                0.63262,                 0.5819,                0.77921,                0.20993,                0.76537,                0.22852,                0.17981,                0.53859,                 3.8282,                0.76829,               0.004786,               0.004786,               0.004786
                    161,                0.63123,                0.58883,                0.77923,                0.21001,                0.76416,                 0.2281,                 0.1791,                0.53852,                 3.8267,                 0.7683,               0.004753,               0.004753,               0.004753
                    162,                0.63017,                0.58104,                0.77915,                0.21155,                0.76855,                0.22708,                0.17828,                0.53834,                 3.8272,                0.76824,                0.00472,                0.00472,                0.00472
